         15773023 function calls (15684623 primitive calls) in 343.881 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.061    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/slot_creator.py:67(create_slot)
    43717    0.044    0.000    0.060    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1362(__init__)
       24    0.000    0.000    0.059    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/slot_creator.py:47(_create_slot_var)
     1024    0.002    0.000    0.058    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/message.py:69(__deepcopy__)
        2    0.004    0.002    0.057    0.029 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/array_ops.py:724(placeholder)
        1    0.054    0.054    0.054    0.054 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:26(<listcomp>)
     2697    0.003    0.000    0.049    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/message.py:106(CopyFrom)
45569/31829    0.027    0.000    0.048    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1317(Modified)
      200    0.001    0.000    0.047    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/function_base.py:1253(copy)
        2    0.008    0.004    0.047    0.024 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:957(_placeholder)
      998    0.007    0.000    0.044    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1413(get_attr)
       59    0.001    0.000    0.041    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:514(binary_op_wrapper)
    31172    0.029    0.000    0.039    0.000 {method 'sort' of 'list' objects}
    56522    0.033    0.000    0.039    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:775(_IsPresent)
       43    0.000    0.000    0.038    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/state_ops.py:104(variable_op)
       43    0.000    0.000    0.038    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_state_ops.py:327(_variable)
       68    0.000    0.000    0.038    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:599(identity)
        6    0.000    0.000    0.038    0.006 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_random_ops.py:135(_truncated_normal)
       18    0.000    0.000    0.037    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:713(reduce_sum)
    12595    0.014    0.000    0.036    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:660(field_setter)
       31    0.000    0.000    0.034    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:1036(reshape)
        2    0.000    0.000    0.034    0.017 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:85(_MeanGrad)
        1    0.034    0.034    0.034    0.034 {built-in method _pywrap_tensorflow.TF_Run}
        9    0.000    0.000    0.034    0.004 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:816(reduce_min)
        5    0.033    0.007    0.033    0.007 {method 'close' of '_io.BufferedWriter' objects}
     9413    0.006    0.000    0.030    0.000 {built-in method builtins.setattr}
       25    0.000    0.000    0.027    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/array_ops.py:598(zeros)
       70    0.000    0.000    0.027    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1535(get_gradient_function)
        8    0.000    0.000    0.026    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/nn_grad.py:197(_Conv2DGrad)
        1    0.026    0.026    0.026    0.026 {built-in method _pywrap_tensorflow.TF_ExtendGraph}
       70    0.000    0.000    0.025    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:982(__str__)
       70    0.000    0.000    0.025    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/text_format.py:100(MessageToString)
        9    0.000    0.000    0.024    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/array_ops.py:174(slice)
        9    0.000    0.000    0.024    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:1292(_slice)
   466/70    0.002    0.000    0.024    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/text_format.py:143(PrintMessage)
     1024    0.004    0.000    0.023    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1313(_recompute_node_def)
    18350    0.016    0.000    0.023    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/type_checkers.py:162(CheckValue)
    14530    0.014    0.000    0.023    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:246(FieldSize)
    48263    0.016    0.000    0.023    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:651(getter)
     3364    0.003    0.000    0.021    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/containers.py:393(MergeFrom)
       12    0.000    0.000    0.021    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/control_flow_ops.py:1735(tuple)
  331/232    0.001    0.000    0.021    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_util.py:569(constant_value)
      980    0.004    0.000    0.020    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:3447(_get_graph_from_inputs)
  331/232    0.002    0.000    0.019    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_util.py:512(_ConstantValue)
5558/4450    0.003    0.000    0.019    0.000 {built-in method builtins.next}
    12868    0.009    0.000    0.018    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:606(getter)
        9    0.000    0.000    0.018    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/logging_ops.py:118(image_summary)
    43147    0.014    0.000    0.018    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1381(Modified)
       15    0.000    0.000    0.018    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/logging_ops.py:216(scalar_summary)
        9    0.000    0.000    0.017    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_logging_ops.py:58(_image_summary)
       12    0.000    0.000    0.017    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/adam.py:123(_apply_dense)
     1024    0.015    0.000    0.017    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:68(_extract_stack)
       33    0.000    0.000    0.017    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_math_ops.py:1028(mul)
       12    0.000    0.000    0.017    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/gen_training_ops.py:78(apply_adam)
       15    0.000    0.000    0.017    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_logging_ops.py:164(_scalar_summary)
       25    0.000    0.000    0.017    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/control_flow_ops.py:1635(with_dependencies)
      400    0.003    0.000    0.016    0.000 /Users/taivo/anaconda/lib/python3.5/urllib/parse.py:288(urlparse)
      551    0.004    0.000    0.016    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/fromnumeric.py:2395(prod)
        2    0.000    0.000    0.016    0.008 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:47(_SumGrad)
     1874    0.002    0.000    0.016    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:3414(get_default_graph)
 1068/420    0.002    0.000    0.015    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/text_format.py:175(PrintField)
    92638    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
2779/2225    0.001    0.000    0.015    0.000 /Users/taivo/anaconda/lib/python3.5/contextlib.py:57(__enter__)
      409    0.001    0.000    0.015    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_shape.py:749(as_proto)
       36    0.000    0.000    0.015    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:1232(shape)
     6491    0.006    0.000    0.015    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:421(MakeRepeatedScalarDefault)
        9    0.000    0.000    0.015    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/array_ops.py:538(transpose)
       35    0.000    0.000    0.014    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:996(rank)
        6    0.000    0.000    0.014    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/random_ops.py:39(_ShapeTensor)
